Messstelle:                ;Lebern, Br  3532
HZB-Nummer:                ;310532
HD-Nummer:                 ;uw3532
DBMS-Nummer:               ;6002063
PorenGW-Gebiet:            ;380 Grazer Feld
Grundwasserkörper:         ;Grazer Feld (Graz/Andritz - Wildon) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.11.2011
 Geländehöhe:              ;335,41
 Messpunkthöhe:            ;335,86
 Sohllage:                 ;323,66
 T-Messtiefe u.GOK:        ;11,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  15.12.1939               ;15 26 51                 ;46 59 31
  01.01.2003               ;15 26 51                 ;46 59 33
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;01.01.1920 00:00; bis ;01.01.2016 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.1965 00:00:00   ;   327,08 ;     
01.08.1965 00:00:00   ;   327,57 ;     
01.09.1965 00:00:00   ;   327,57 ;     
01.10.1965 00:00:00   ;   327,32 ;     
01.11.1965 00:00:00   ;   326,98 ;     
01.12.1965 00:00:00   ;   326,84 ;     
01.01.1966 00:00:00   ;   326,83 ;     
01.02.1966 00:00:00   ;   326,58 ;     
01.03.1966 00:00:00   ;   326,42 ;     
01.04.1966 00:00:00   ;   326,26 ;     
01.05.1966 00:00:00   ;   326,14 ;     
01.06.1966 00:00:00   ;   326,02 ;     
01.07.1966 00:00:00   ;   326,10 ;     
01.08.1966 00:00:00   ;   326,52 ;     
01.09.1966 00:00:00   ;   326,68 ;     
01.10.1966 00:00:00   ;   326,54 ;     
01.11.1966 00:00:00   ;   326,31 ;     
01.12.1966 00:00:00   ;   326,33 ;     
01.01.1967 00:00:00   ;   326,29 ;     
01.02.1967 00:00:00   ;   326,11 ;     
01.03.1967 00:00:00   ;   325,92 ;     
01.04.1967 00:00:00   ;   325,81 ;     
01.05.1967 00:00:00   ;   325,77 ;     
01.06.1967 00:00:00   ;   325,79 ;     
01.07.1967 00:00:00   ;   325,68 ;     
01.08.1967 00:00:00   ;   325,56 ;     
01.09.1967 00:00:00   ;   325,44 ;     
01.10.1967 00:00:00   ;   325,35 ;     
01.11.1967 00:00:00   ;   325,21 ;     
01.12.1967 00:00:00   ;   325,07 ;     
01.01.1968 00:00:00   ;   324,96 ;     
01.02.1968 00:00:00   ;   324,81 ;     
01.03.1968 00:00:00   ;   324,72 ;     
01.04.1968 00:00:00   ;   324,67 ;     
01.05.1968 00:00:00   ;   324,65 ;     
01.06.1968 00:00:00   ;   324,65 ;     
01.07.1968 00:00:00   ;   324,64 ;     
01.08.1968 00:00:00   ;   324,73 ;     
01.09.1968 00:00:00   ;   324,88 ;     
01.10.1968 00:00:00   ;   325,00 ;     
01.11.1968 00:00:00   ;   325,03 ;     
01.12.1968 00:00:00   ;   324,99 ;     
01.01.1969 00:00:00   ;   324,93 ;     
01.02.1969 00:00:00   ;   324,85 ;     
01.03.1969 00:00:00   ;   325,02 ;     
01.04.1969 00:00:00   ;   325,73 ;     
01.05.1969 00:00:00   ;   325,80 ;     
01.06.1969 00:00:00   ;   325,76 ;     
01.07.1969 00:00:00   ;   325,68 ;     
01.08.1969 00:00:00   ;   325,57 ;     
01.09.1969 00:00:00   ;   325,61 ;     
01.10.1969 00:00:00   ;   325,59 ;     
01.11.1969 00:00:00   ;   325,47 ;     
01.12.1969 00:00:00   ;   325,37 ;     
01.01.1970 00:00:00   ;   325,27 ;     
01.02.1970 00:00:00   ;   325,09 ;     
01.03.1970 00:00:00   ;   325,09 ;     
01.04.1970 00:00:00   ;   325,83 ;     
01.05.1970 00:00:00   ;   326,04 ;     
01.06.1970 00:00:00   ;   326,05 ;     
01.07.1970 00:00:00   ;   325,98 ;     
01.08.1970 00:00:00   ;   325,92 ;     
01.09.1970 00:00:00   ;   325,98 ;     
01.10.1970 00:00:00   ;   325,86 ;     
01.11.1970 00:00:00   ;   325,70 ;     
01.12.1970 00:00:00   ;   325,55 ;     
01.01.1971 00:00:00   ;   325,40 ;     
01.02.1971 00:00:00   ;   325,24 ;     
01.03.1971 00:00:00   ;   325,11 ;     
01.04.1971 00:00:00   ;   325,03 ;     
01.05.1971 00:00:00   ;   325,00 ;     
01.06.1971 00:00:00   ;   324,97 ;     
01.07.1971 00:00:00   ;   324,93 ;     
01.08.1971 00:00:00   ;   324,90 ;     
01.09.1971 00:00:00   ;   324,84 ;     
01.10.1971 00:00:00   ;   324,73 ;     
01.11.1971 00:00:00   ;   324,58 ;     
01.12.1971 00:00:00   ;   324,44 ;     
01.01.1972 00:00:00   ;   324,29 ;     
01.02.1972 00:00:00   ;   324,16 ;     
01.03.1972 00:00:00   ;   324,34 ;     
01.04.1972 00:00:00   ;   324,67 ;     
01.05.1972 00:00:00   ;   325,08 ;     
01.06.1972 00:00:00   ;   325,89 ;     
01.07.1972 00:00:00   ;   326,73 ;     
01.08.1972 00:00:00   ;   327,28 ;     
01.09.1972 00:00:00   ;   326,97 ;     
01.10.1972 00:00:00   ;   326,60 ;     
01.11.1972 00:00:00   ;   326,27 ;     
01.12.1972 00:00:00   ;   326,04 ;     
01.01.1973 00:00:00   ;   325,77 ;     
01.02.1973 00:00:00   ;   325,58 ;     
01.03.1973 00:00:00   ;   325,49 ;     
01.04.1973 00:00:00   ;   325,43 ;     
01.05.1973 00:00:00   ;   325,40 ;     
01.06.1973 00:00:00   ;   325,41 ;     
01.07.1973 00:00:00   ;   325,68 ;     
01.08.1973 00:00:00   ;   325,75 ;     
01.09.1973 00:00:00   ;   325,58 ;     
01.10.1973 00:00:00   ;   325,74 ;     
01.11.1973 00:00:00   ;   325,73 ;     
01.12.1973 00:00:00   ;   325,53 ;     
01.01.1974 00:00:00   ;   325,29 ;     
01.02.1974 00:00:00   ;   325,18 ;     
01.03.1974 00:00:00   ;   325,25 ;     
01.04.1974 00:00:00   ;   325,51 ;     
01.05.1974 00:00:00   ;   325,44 ;     
01.06.1974 00:00:00   ;   325,37 ;     
01.07.1974 00:00:00   ;   325,34 ;     
01.08.1974 00:00:00   ;   325,26 ;     
01.09.1974 00:00:00   ;   325,20 ;     
01.10.1974 00:00:00   ;   325,12 ;     
01.11.1974 00:00:00   ;   325,06 ;     
01.12.1974 00:00:00   ;   324,96 ;     
01.01.1975 00:00:00   ;   324,85 ;     
01.02.1975 00:00:00   ;   324,72 ;     
01.03.1975 00:00:00   ;   324,61 ;     
01.04.1975 00:00:00   ;   324,83 ;     
01.05.1975 00:00:00   ;   325,06 ;     
01.06.1975 00:00:00   ;   325,25 ;     
01.07.1975 00:00:00   ;   325,94 ;     
01.08.1975 00:00:00   ;   326,37 ;     
01.09.1975 00:00:00   ;   326,17 ;     
01.10.1975 00:00:00   ;   325,99 ;     
01.11.1975 00:00:00   ;   325,85 ;     
01.12.1975 00:00:00   ;   325,72 ;     
01.01.1976 00:00:00   ;   325,53 ;     
01.02.1976 00:00:00   ;   325,41 ;     
01.03.1976 00:00:00   ;   325,31 ;     
01.04.1976 00:00:00   ;   325,22 ;     
01.05.1976 00:00:00   ;   325,20 ;     
01.06.1976 00:00:00   ;   325,16 ;     
01.07.1976 00:00:00   ;   325,05 ;     
01.08.1976 00:00:00   ;   325,01 ;     
01.09.1976 00:00:00   ;   324,97 ;     
01.10.1976 00:00:00   ;   324,88 ;     
01.11.1976 00:00:00   ;   324,80 ;     
01.12.1976 00:00:00   ;   324,76 ;     
01.01.1977 00:00:00   ;   324,74 ;     
01.02.1977 00:00:00   ;   324,79 ;     
01.03.1977 00:00:00   ;   325,14 ;     
01.04.1977 00:00:00   ;   325,22 ;     
01.05.1977 00:00:00   ;   325,18 ;     
01.06.1977 00:00:00   ;   325,13 ;     
01.07.1977 00:00:00   ;   325,08 ;     
01.08.1977 00:00:00   ;   325,07 ;     
01.09.1977 00:00:00   ;   324,95 ;     
01.10.1977 00:00:00   ;   324,76 ;     
01.11.1977 00:00:00   ;   324,51 ;     
01.12.1977 00:00:00   ;   324,30 ;     
01.01.1978 00:00:00   ;   324,11 ;     
01.02.1978 00:00:00   ;   324,02 ;     
01.03.1978 00:00:00   ;   324,01 ;     
01.04.1978 00:00:00   ;   324,03 ;     
01.05.1978 00:00:00   ;   324,11 ;     
01.06.1978 00:00:00   ;   324,32 ;     
01.07.1978 00:00:00   ;   324,74 ;     
01.08.1978 00:00:00   ;   325,11 ;     
01.09.1978 00:00:00   ;   325,04 ;     
01.10.1978 00:00:00   ;   324,89 ;     
01.11.1978 00:00:00   ;   324,73 ;     
01.12.1978 00:00:00   ;   324,55 ;     
01.01.1979 00:00:00   ;   324,30 ;     
01.02.1979 00:00:00   ;   324,18 ;     
01.03.1979 00:00:00   ;   324,27 ;     
01.04.1979 00:00:00   ;   324,53 ;     
01.05.1979 00:00:00   ;   324,85 ;     
01.06.1979 00:00:00   ;   324,95 ;     
01.07.1979 00:00:00   ;   325,21 ;     
