Reference;Type;Clast size (mm);Slope (tan);Clast size ();Slope (deg)
Bradbury1992;Beach;16;0,1;-4;5,71
Mason1989;Beach;2,6;0,095;-1,379;5,43
Mason1989;Beach;2;0,055;-1;3,15
Sherman1993;Beach;32;0,24;-5;13,5
Jennings2002;Beach;3,53;0,14;-1,82;7,97
Jennings2002;Beach;4,03;0,13;-2,01;7,41
Jennings2002;Beach;24,76;0,23;-4,63;12,95
Jennings2002;Beach;20,97;0,23;-4,39;12,95
Jennings2002;Beach;7,06;0,1;-2,82;5,71
Jennings2002;Beach;33,82;0,24;-5,08;13,5
Jennings2002;Beach;15,89;0,2;-3,99;11,31
Jennings2002;Beach;2,91;0,11;-1,54;6,28
Jennings2002;Beach;6,82;0,11;-2,77;6,28
Jennings2002;Beach;1,08;0,12;-0,11;6,84
Jennings2002;Beach;5,24;0,12;-2,39;6,84
Jennings2002;Beach;9,65;0,08;-3,27;4,57
Jennings2002;Beach;1,26;0,09;-0,33;5,14
Jennings2002;Beach;2,6;0,09;-1,38;5,14
Jennings2002;Beach;0,95;0,08;0,08;4,57
Jennings2002;Beach;1,39;0,08;-0,48;4,57
Jennings2002;Beach;6,73;0,09;-2,75;5,14
Jennings2002;Beach;7,46;0,08;-2,9;4,57
Jennings2002;Beach;3,61;0,09;-1,85;5,14
Jennings2002;Beach;3,07;0,09;-1,62;5,14
Jennings2002;Beach;0,78;0,04;0,36;2,29
Jennings2002;Beach;1,61;0,07;-0,69;4
Jennings2002;Beach;4,44;0,09;-2,15;5,14
Jennings2002;Beach;2,89;0,06;-1,53;3,43
Jennings2002;Beach;2,17;0,07;-1,12;4
Jennings2002;Beach;10,56;0,09;-3,4;5,14
Jennings2002;Beach;2,55;0,06;-1,35;3,43
Jennings2002;Beach;4,06;0,08;-2,02;4,57
Jennings2002;Beach;0,75;0,08;0,42;4,57
Jennings2002;Beach;1,1;0,08;-0,14;4,57
Jennings2002;Beach;2,13;0,08;-1,09;4,57
Jennings2002;Beach;1,89;0,1;-0,92;5,71
Jennings2002;Beach;6,36;0,07;-2,67;4
Jennings2002;Beach;4,26;0,07;-2,09;4
Jennings2002;Beach;6,87;0,05;-2,78;2,86
Jennings2002;Beach;13,09;0,13;-3,71;7,41
Jennings2002;Beach;25,11;0,07;-4,65;4
Jennings2002;Beach;0,99;0,12;0,01;6,84
Jennings2002;Beach;23,43;0,14;-4,55;7,97
Jennings2002;Beach;5,62;0,08;-2,49;4,57
Jennings2002;Beach;1,71;0,11;-0,77;6,28
Jennings2002;Beach;46,85;0,15;-5,55;8,53
Etienne2010;Beach;510;0,175;-8,994;9,93
Etienne2010;Beach;477,5;0,188;-8,899;10,62
Etienne2010;Beach;447;0,15;-8,804;8,53
Etienne2010;Beach;462,5;0,2;-8,853;11,31
Etienne2010;Beach;517,5;0,156;-9,015;8,84
Vousdoukas2012;Beach;0,5;0,105;1;5,99
Scott2011;Beach;1,42;0,12;-0,506;6,84
Scott2011;Beach;12;0,18;-3,585;10,2
Scott2011;Beach;0,65;0,12;0,621;6,84
Forbes1995;Beach;60;0,32;-5,907;17,74
Forbes1995;Beach;74;0,32;-6,209;17,74
Forbes1995;Beach;85;0,32;-6,409;17,74
Forbes1995;Beach;49;0,3;-5,615;16,7
Forbes1995;Beach;60;0,3;-5,907;16,7
Forbes1995;Beach;64;0,3;-6;16,7
Forbes1995;Beach;42;0,3;-5,392;16,7
Forbes1995;Beach;52;0,3;-5,7;16,7
Forbes1995;Beach;69;0,25;-6,109;14,04
Forbes1995;Beach;85;0,25;-6,409;14,04
Forbes1995;Beach;56;0,25;-5,807;14,04
Warrick2009;Beach;110;0,19;-6,781;10,76
Warrick2009;Beach;95;0,19;-6,57;10,76
Warrick2009;Beach;94;0,17;-6,555;9,65
Warrick2009;Beach;70;0,17;-6,129;9,65
